ACCT_TOKEN,I_ECIF_CUST_ID,C_ECIF_CUST_ROLE,C_FED_EXMPT,X_EMPL,CUST_DEF,CUST_ELIG_STATUS,CUST_ELIG_REASON,CHILD_OFF_CD,OFF_ST_DATE,OFF_END_DATE,CUST_OVER_STATUS,BONUS_1_TYPE,BONUS_1_VAL,BONUS_1_DESC,BONUS_1_STATUS,TAX_TYPE_B1,ELIG_ACCT_OPEN,ACCT_OPEN_DATE,ACCT_STATUS,OPEN_ACCT_QA_STATUS,OPEN_ACCT_QA_REASON,DD_TRX,DD_DATE,DD_TRX_DAYS_RM,DD_QA_STATUS,DD_QA_REASON,BONUS_2_TYPE,BONUS_2_VAL,BONUS_2_DESC,BONUS_2_STATUS,TAX_TYPE_B2,TTL_DPST_BLC,TTL_DPST_BLC_DAYS_RM,INCR_BLC_QA_STATUS,INCR_BLC_QA_REASON,INCR_BLC_DATE,TTL_DSPT_BLC_DAYS_MTN,MAINTAIN_BLC_QA_STATUS,MAINTAIN_BLC_QA_REASON,MAINTAIN_BLC_DATE,AGENT_ID,AGENT_NAME,Bonus_1_OVR_REASON,BONUS_1_OVR_DATE,Bonus_2_OVR_REASON,BONUS_2_OVR_DATE,OFFER_REDEEM_DATE,CUST_D_LOAD,ACCT_D_PRCSS_DAY,TRX_D_PRCSS_DAY,RULES_EXECUTE_DATE
2f9c656962cc28be746757d0a3972c8a75fa771c344dc95f8db2696105baca02,c11e4708,1000016,N,N,Customer,4,NHS408,NH53BJM8BJINL0IV,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,05/09/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,17.63,0,4,NHS408,Not met,,4,NHS408,,,,,,,,09/05/24,56:05.3,05/09/24,null,2024-10-30 21:40:50 PM CST
9f0f97089338e09fc009b1b135a8ab2ae0820c384faf252bcd00f28c8b7e39e0,e36c44dd,1000016,N,N,Customer,4,NHS406,NH53BJM8BJINL0IV,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,4,NHS406,7915.45,9/27/2024,0,4,NHS406,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,17026.05,0,4,NHS406,06/09/24,0,4,NHS406,26/09/24,,,,,,,09/06/24,02:07.7,28/10/24,25/10/24,2024-10-30 21:40:51 PM CST
7fb945c8da43666b838ff8b4caba377c3a2e82483dd18ac609766259b29298ac,231560c5,1000016,N,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,3,NHS100,0.16,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,3465.58,0,5,NHS500,Not met,,6,NHS602,,,,,,,,09/06/24,16:39.8,28/10/24,09/09/24,2024-10-30 21:40:50 PM CST
360952c33202fc85d82d059a6a7f3c312f6aca4b95703123af17a1cd7dd92d24,Praveen1,1000016,N,N,Customer,4,NHS408,NH53BJM8BJINL0IV,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,28/08/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,0,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-28-2024,00:28.3,28/08/24,null,2024-10-30 21:40:50 PM CST
4a8ada49afd0012c7477e1c7e4754ecb9b1c76010608d0d6f011baf17a2d85c9,Sebastian2,1000016,N,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,03/09/24,Open,3,NHS100,9031.36,10/02/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,6503.35,0,3,NHS303,15/10/24,4,4,NHS403,04/11/24,,,,,,,09/03/24,43:32.1,29/10/24,29/10/24,2024-10-30 21:40:50 PM CST
8e859dd0b72d94a663c71a42bddd5b65b505cbfdd93fc2026db7c0fd53a350e5,be2cb564,1000016,N,N,Customer,4,NHS408,NH53BJM8BJINL0IV,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,27/08/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,-89.97,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-27-2024,44:50.0,25/10/24,null,2024-10-30 21:40:50 PM CST
da5390e12907ad50c2686ac55ce5a360b2edec726c4fc56ae08fee2c84ffcd68,c339b434,1000016,N,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,13/08/24,Open,3,NHS100,0,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,0,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-13-2024,52:31.9,13/08/24,null,2024-10-30 21:40:50 PM CST
e07c3b2f22c9e32cdb6def0a03a6b1c6353ee17550ffd865a04ece538b8cb5e9,ebc5a3dc,1000016,A,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,19/08/24,Open,3,NHS100,2509.38,09/05/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,291.2,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-19-2024,40:39.2,29/10/24,23/10/24,2024-10-30 21:40:50 PM CST
93e4fec2f59aab8ed8cf0e025e093a0841902e47dfd9392b9e552822912ce4c2,e12345b,1000016,C,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,5155.05,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,3384.6,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-20-2024,07:35.4,29/10/24,23/10/24,2024-10-30 21:40:50 PM CST
7decdc2b3a295fed8d46dde392128912ad011859e35c95c894ba9e0a773f158f,fe15b364,1000016,N,N,Prospect,1,NHS100,NH53BJM8BJINL0IV,19/08/24,06/09/24,3,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,6799.77,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,INT,5710.13,0,3,NHS303,03/09/24,0,3,NHS304,23/09/24,,,,,,,08-20-2024,29:14.5,29/10/24,23/10/24,2024-10-30 21:40:50 PM CST
