ACCT_TOKEN,I_ECIF_CUST_ID,C_ECIF_CUST_ROLE,C_FED_EXMPT,X_EMPL,CUST_DEF,CUST_ELIG_STATUS,CUST_ELIG_REASON,CHILD_OFF_CD,OFF_ST_DATE,OFF_END_DATE,CUST_OVER_STATUS,BONUS_1_TYPE,BONUS_1_VAL,BONUS_1_DESC,BONUS_1_STATUS,TAX_TYPE_B1,ELIG_ACCT_OPEN,ACCT_OPEN_DATE,ACCT_STATUS,OPEN_ACCT_QA_STATUS,OPEN_ACCT_QA_REASON,DD_TRX,DD_DATE,DD_TRX_DAYS_RM,DD_QA_STATUS,DD_QA_REASON,BONUS_2_TYPE,BONUS_2_VAL,BONUS_2_DESC,BONUS_2_STATUS,TAX_TYPE_B2,TTL_DPST_BLC,TTL_DPST_BLC_DAYS_RM,INCR_BLC_QA_STATUS,INCR_BLC_QA_REASON,INCR_BLC_DATE,TTL_DSPT_BLC_DAYS_MTN,MAINTAIN_BLC_QA_STATUS,MAINTAIN_BLC_QA_REASON,MAINTAIN_BLC_DATE,AGENT_ID,AGENT_NAME,Bonus_1_OVR_REASON,BONUS_1_OVR_DATE,Bonus_2_OVR_REASON,BONUS_2_OVR_DATE,OFFER_REDEEM_DATE,CUST_D_LOAD,ACCT_D_PRCSS_DAY,TRX_D_PRCSS_DAY,RULES_EXECUTE_DATE,BONUS_1_Status
746757d0a3972c8a75fa771c344dc12,1234,1000016,N,N,Customer,4,NHS408,abbcccddddOXDMOPHJ,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,05/09/24,Open,4,NHS408,0.0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,INT,17.63,0,4,NHS408,Not met,,4,NHS408,,,,,,,,09/05/24,56:05.3,05/09/24,,2024-11-09 22:49:23 PM CST,4.0
746757d0a3972c8a75fa771c344dc3,e36c44d,1000016,N,N,Customer,4,NHS406,abbcccdddd6FXYYKBW,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,4,NHS406,12195.46,9/27/2024,0,4,NHS406,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,INT,16358.12,0,4,NHS406,06/09/24,0.0,4,NHS406,26/09/24,,,,,,,09/06/24,02:07.7,08/11/24,08/11/24,2024-11-09 22:49:24 PM CST,
746757d0a3972c8a75fa771c344dc4,231560c5-fcb1,1000016,N,N,Prospect,1,NHS100,abbcccddddG6KHZLXP,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,3,NHS100,0.16,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,5,INT,3030.2,0,5,NHS500,Not met,,6,NHS602,,,,,,,,09/06/24,16:39.8,04/11/24,09/09/24,2024-11-09 22:49:23 PM CST,4.0
746757d0a3972c8a75fa771c344dc5,5b31042d-d3a3-4ffc-92,1000016,N,N,Customer,4,NHS408,abbcccddddG334GSTW,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,28/08/24,Open,4,NHS408,0.0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,INT,0.0,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-28-2024,00:28.3,28/08/24,,2024-11-09 22:49:24 PM CST,4.0
746757d0a3972c8a75fa771c344dc6,Prankit,1000016,N,N,Prospect,1,NHS100,abbcccdddd1WBUX6YD,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,3,MISC,Y,03/09/24,Open,3,NHS100,9031.36,10/02/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,INT,4681.13,0,3,NHS303,15/10/24,0.0,4,NHS403,04/11/24,,,,,,,09/03/24,43:32.1,05/11/24,29/10/24,2024-11-09 22:49:23 PM CST,
746757d0a3972c8a75fa771c344dc7,be2cb564-fdb8-48a9,1000016,N,N,Customer,4,NHS408,abbcccddddKJWGDZPA,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,27/08/24,Open,4,NHS408,0.0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,INT,-89.97,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-27-2024,44:50.0,25/10/24,,2024-11-09 22:49:23 PM CST,4.0
746757d0a3972c8a75fa771c344dc8,c339b434dab52fc9,1000016,N,N,Prospect,1,NHS100,abbcccddddAFGWVP1K,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,4,MISC,Y,13/08/24,Open,3,NHS100,0.0,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,5,INT,0.0,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-13-2024,52:31.9,13/08/24,,2024-11-09 22:49:23 PM CST,4.0
746757d0a3972c8a75fa771c344dc9,ebc5a3dc-a9614a1cdf,1000016,A,N,Prospect,1,NHS100,abbcccddddBJINL3IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,3,MISC,Y,19/08/24,Open,3,NHS100,3091.49,09/05/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,5,INT,339.32,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-19-2024,40:39.2,08/11/24,08/11/24,2024-11-09 22:49:23 PM CST,
746757d0a3972c8a75fa771c344dc10,Gaurav,1000016,C,N,Prospect,1,NHS100,abbcccddddN3XDOMZ5,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,6298.63,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,5,INT,3996.4,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-20-2024,07:35.4,08/11/24,06/11/24,2024-11-09 22:49:23 PM CST,
746757d0a3972c8a75fa771c344dc11,fe15b364-0d7537444fc,1000016,N,N,Prospect,1,NHS100,abbcccddddX3ALXFEO,19/08/24,06/09/24,3,Cash,250,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,8193.65,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward. Thank you for banking with Fifth Third.,3,INT,5857.76,0,3,NHS303,03/09/24,0.0,3,NHS304,23/09/24,,,,,,,08-20-2024,29:14.5,08/11/24,06/11/24,2024-11-09 22:49:23 PM CST,
